"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2003-05","May-2003","PC","Percentage","0","Units",,,3.57,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2003-06","Jun-2003","PC","Percentage","0","Units",,,3.33,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2003-07","Jul-2003","PC","Percentage","0","Units",,,3.98,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2003-08","Aug-2003","PC","Percentage","0","Units",,,4.45,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2003-09","Sep-2003","PC","Percentage","0","Units",,,4.27,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2003-10","Oct-2003","PC","Percentage","0","Units",,,4.29,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2003-11","Nov-2003","PC","Percentage","0","Units",,,4.3,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2003-12","Dec-2003","PC","Percentage","0","Units",,,4.27,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-01","Jan-2004","PC","Percentage","0","Units",,,4.15,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-02","Feb-2004","PC","Percentage","0","Units",,,4.08,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-03","Mar-2004","PC","Percentage","0","Units",,,3.83,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-04","Apr-2004","PC","Percentage","0","Units",,,4.35,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-05","May-2004","PC","Percentage","0","Units",,,4.72,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-06","Jun-2004","PC","Percentage","0","Units",,,4.73,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-07","Jul-2004","PC","Percentage","0","Units",,,4.5,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-08","Aug-2004","PC","Percentage","0","Units",,,4.28,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-09","Sep-2004","PC","Percentage","0","Units",,,4.13,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-10","Oct-2004","PC","Percentage","0","Units",,,4.1,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-11","Nov-2004","PC","Percentage","0","Units",,,4.19,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2004-12","Dec-2004","PC","Percentage","0","Units",,,4.23,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-01","Jan-2005","PC","Percentage","0","Units",,,4.22,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-02","Feb-2005","PC","Percentage","0","Units",,,4.17,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-03","Mar-2005","PC","Percentage","0","Units",,,4.5,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-04","Apr-2005","PC","Percentage","0","Units",,,4.34,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-05","May-2005","PC","Percentage","0","Units",,,4.14,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-06","Jun-2005","PC","Percentage","0","Units",,,4,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-07","Jul-2005","PC","Percentage","0","Units",,,4.18,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-08","Aug-2005","PC","Percentage","0","Units",,,4.26,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-09","Sep-2005","PC","Percentage","0","Units",,,4.2,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-10","Oct-2005","PC","Percentage","0","Units",,,4.46,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-11","Nov-2005","PC","Percentage","0","Units",,,4.54,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2005-12","Dec-2005","PC","Percentage","0","Units",,,4.47,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-01","Jan-2006","PC","Percentage","0","Units",,,4.42,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-02","Feb-2006","PC","Percentage","0","Units",,,4.57,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-03","Mar-2006","PC","Percentage","0","Units",,,4.72,,
