STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-08,,1.0646,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-09,,1.1315,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-10,,1.0547,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-11,,0.9692,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-12,,1.0502,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-01,,1.0568,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-02,,1.056,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-03,,1.1182,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-04,,1.1001,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-05,,1.0605,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-06,,1.0579,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-07,,1.111,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-08,,1.099,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-09,,1.0741,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-10,,1.0861,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-11,,1.0653,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-12,,1.08,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-01,,1.0531,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-02,,1.0216,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-03,,1.051,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-04,,1.0507,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-05,,1.0663,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-06,,1.0369,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-07,,1.0232,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-08,,1.0462,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-09,,1.0827,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-10,,1.0912,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-11,,1.1557,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1958-12,,1.1394,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-01,,1.1659,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-02,,1.2015,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-03,,1.2197,,A,Normal value,9,Billions,1,One,,
