STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,IX,Index,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-06,,34.9679837252833,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,IX,Index,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-07,,34.671876940002,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,IX,Index,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-08,,34.8269360442379,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,IX,Index,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-09,,34.9517925938493,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,IX,Index,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-10,,34.8074952768677,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,IX,Index,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-11,,35.1854339376911,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,IX,Index,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,_Z,Not applicable,1956-12,,35.2218560733249,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,IX,Index,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-01,,35.4663288843931,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,IX,Index,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-02,,35.9619983206056,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,IX,Index,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,_Z,Not applicable,1957-03,,35.4919444201472,,A,Normal value,0,Units,1,One,2015,
